ai_concept,Country/territory,Country/territory_label,impact_level,pub_type,publications,year
All AI research,ESP,Spain,All works,All publication types,1.718450863255155,2018
All AI research,ESP,Spain,All works,All publication types,1.6836211710818034,2019
All AI research,ESP,Spain,All works,All publication types,1.3863173562553637,2020
All AI research,ESP,Spain,All works,All publication types,1.240491987540354,2021
All AI research,ESP,Spain,All works,All publication types,1.3103148283070147,2022
All AI research,ESP,Spain,All works,All publication types,1.2574715250483772,2023
All AI research,ESP,Spain,All works,All publication types,1.0863592724073508,2024
All AI research,ESP,Spain,All works,All publication types,0.987679186714631,2025
All AI research,CAN,Canada,All works,All publication types,3.3200861713890317,2000
All AI research,CAN,Canada,All works,All publication types,3.2972027950754232,2001
All AI research,CAN,Canada,All works,All publication types,3.881825395109975,2002
All AI research,CAN,Canada,All works,All publication types,3.3714872563861302,2003
All AI research,CAN,Canada,All works,All publication types,3.0025214463224574,2004
All AI research,CAN,Canada,All works,All publication types,3.0377495806289905,2005
All AI research,CAN,Canada,All works,All publication types,2.7661549302698623,2006
All AI research,CAN,Canada,All works,All publication types,2.608607614428335,2007
All AI research,CAN,Canada,All works,All publication types,2.2582512127989998,2008
All AI research,CAN,Canada,All works,All publication types,2.081227354878779,2009
All AI research,CAN,Canada,All works,All publication types,2.161216242724466,2010
All AI research,CAN,Canada,All works,All publication types,2.0341278564950698,2011
All AI research,CAN,Canada,All works,All publication types,2.23608397024227,2012
All AI research,CAN,Canada,All works,All publication types,2.331811226802605,2013
All AI research,CAN,Canada,All works,All publication types,2.0300615345732504,2014
All AI research,CAN,Canada,All works,All publication types,2.20123210928952,2015
All AI research,CAN,Canada,All works,All publication types,2.1273334900966097,2016
All AI research,CAN,Canada,All works,All publication types,2.0028276230697184,2017
All AI research,CAN,Canada,All works,All publication types,2.0345919343581285,2018
All AI research,CAN,Canada,All works,All publication types,2.212182615373323,2019
All AI research,CAN,Canada,All works,All publication types,2.179520922502279,2020
All AI research,CAN,Canada,All works,All publication types,2.0904798206118316,2021
All AI research,CAN,Canada,All works,All publication types,1.6912118778788767,2022
All AI research,CAN,Canada,All works,All publication types,1.806773006655853,2023
All AI research,CAN,Canada,All works,All publication types,1.4163418030845198,2024
All AI research,CAN,Canada,All works,All publication types,1.607221283764962,2025
