geo,time,income_per_person_long_series
are,1846,1239.0
are,1847,1243.0
are,1848,1247.0
are,1849,1252.0
are,1850,1256.0
are,1851,1261.0
are,1852,1266.0
are,1853,1270.0
are,1854,1275.0
are,1855,1279.0
are,1856,1284.0
are,1857,1288.0
are,1858,1293.0
are,1859,1298.0
are,1860,1302.0
are,1861,1307.0
are,1862,1312.0
are,1863,1316.0
are,1864,1321.0
are,1865,1326.0
are,1866,1331.0
are,1867,1336.0
are,1868,1340.0
are,1869,1345.0
are,1870,1350.0
are,1871,1369.0
are,1872,1389.0
are,1873,1409.0
are,1874,1430.0
are,1875,1450.0
are,1876,1471.0
are,1877,1492.0
are,1878,1514.0
are,1879,1536.0
are,1880,1558.0
are,1881,1580.0
are,1882,1603.0
are,1883,1626.0
are,1884,1650.0
are,1885,1674.0
are,1886,1698.0
are,1887,1722.0
are,1888,1747.0
are,1889,1772.0
are,1890,1798.0
are,1891,1824.0
are,1892,1850.0
are,1893,1877.0
are,1894,1904.0
are,1895,1932.0
are,1896,1959.0
are,1897,1988.0
are,1898,2016.0
are,1899,2046.0
are,1900,2075.0
are,1901,2105.0
are,1902,2135.0
are,1903,2166.0
are,1904,2198.0
are,1905,2229.0
are,1906,2261.0
are,1907,2294.0
are,1908,2327.0
are,1909,2361.0
are,1910,2395.0
are,1911,2429.0
are,1912,2464.0
are,1913,2500.0
are,1914,2379.0
are,1915,2263.0
are,1916,2154.0
are,1917,2049.0
are,1918,1950.0
are,1919,2054.0
are,1920,2163.0
are,1921,2279.0
are,1922,2400.0
are,1923,2383.0
are,1924,2367.0
are,1925,2350.0
are,1926,2299.0
are,1927,2249.0
are,1928,2200.0
are,1929,2040.0
are,1930,1892.0
are,1931,1755.0
are,1932,1628.0
are,1933,1510.0
are,1934,1400.0
are,1935,1379.0
are,1936,1357.0
are,1937,1337.0
are,1938,1316.0
are,1939,1296.0
are,1940,1276.0
are,1941,1257.0
are,1942,1238.0
are,1943,1219.0
are,1944,1200.0
are,1945,1208.0
are,1946,1216.0
are,1947,1225.0
are,1948,1233.0
are,1949,1242.0
are,1950,1250.0
are,1951,1257.0
are,1952,1264.0
are,1953,1271.0
are,1954,1278.0
are,1955,1286.0
are,1956,1293.0
are,1957,1300.0
are,1958,1457.0
are,1959,1633.0
are,1960,1831.0
are,1961,2052.0
are,1962,2300.0
are,1963,3000.0
are,1964,5097.0
are,1965,8660.0
are,1966,14710.0
are,1967,25000.0
are,1968,30040.0
are,1969,36100.0
are,1970,43390.0
are,1971,42000.0
are,1972,40300.0
are,1973,61700.0
are,1974,151000.0
are,1975,169700.0
are,1976,167000.0
are,1977,169200.0
are,1978,144600.0
are,1979,160900.0
are,1980,184600.0
are,1981,183100.0
are,1982,159700.0
are,1983,146300.0
are,1984,141200.0
are,1985,130600.0
are,1986,101100.0
are,1987,102200.0
are,1988,83380.0
are,1989,92870.0
are,1990,115700.0
are,1991,110500.0
are,1992,108300.0
are,1993,104000.0
are,1994,105700.0
are,1995,107300.0
are,1996,107800.0
are,1997,110400.0
are,1998,104900.0
are,1999,102800.0
are,2000,108900.0
are,2001,106700.0
are,2002,106200.0
are,2003,110500.0
are,2004,111500.0
are,2005,103100.0
are,2006,96400.0
are,2007,83660.0
are,2008,73610.0
are,2009,61730.0
are,2010,57380.0
are,2011,56380.0
are,2012,57120.0
are,2013,58100.0
are,2014,58860.0
are,2015,59540.0
are,2016,60150.0
are,2017,60790.0
are,2018,61490.0
are,2019,62150.0
arg,1800,948.5
arg,1801,948.5
arg,1802,948.5
arg,1803,948.5
arg,1804,948.5
arg,1805,948.5
arg,1806,948.5
arg,1807,948.5
arg,1808,948.5
arg,1809,948.5
arg,1810,948.5
arg,1811,948.5
arg,1812,948.5
arg,1813,948.5
arg,1814,948.5
arg,1815,948.5
arg,1816,948.5
arg,1817,948.5
arg,1818,948.5
arg,1819,948.5
arg,1820,948.5
arg,1821,961.9
arg,1822,975.5
arg,1823,989.3
arg,1824,1003.0
arg,1825,1017.0
arg,1826,1032.0
arg,1827,1046.0
arg,1828,1061.0
arg,1829,1076.0
arg,1830,1091.0
arg,1831,1107.0
arg,1832,1122.0
arg,1833,1138.0
arg,1834,1154.0
arg,1835,1171.0
arg,1836,1187.0
arg,1837,1204.0
arg,1838,1221.0
arg,1839,1238.0
arg,1840,1256.0
arg,1841,1273.0
arg,1842,1291.0
arg,1843,1310.0
arg,1844,1328.0
arg,1845,1347.0
arg,1846,1366.0
arg,1847,1385.0
arg,1848,1405.0
arg,1849,1425.0
arg,1850,1445.0
