geo,time,mean_years_in_school_men_15_to_24_years,is_forecasted
bhr,1975,5.94,False
bhr,1976,6.06,False
bhr,1977,6.17,False
bhr,1978,6.29,False
bhr,1979,6.41,False
bhr,1980,6.52,False
bhr,1981,6.64,False
bhr,1982,6.75,False
bhr,1983,6.87,False
bhr,1984,6.99,False
bhr,1985,7.1,False
bhr,1986,7.21,False
bhr,1987,7.33,False
bhr,1988,7.44,False
bhr,1989,7.55,False
bhr,1990,7.66,False
bhr,1991,7.76,False
bhr,1992,7.86,False
bhr,1993,7.96,False
bhr,1994,8.06,False
bhr,1995,8.16,False
bhr,1996,8.24,False
bhr,1997,8.33,False
bhr,1998,8.42,False
bhr,1999,8.51,False
bhr,2000,8.6,False
bhr,2001,8.7,False
bhr,2002,8.8,False
bhr,2003,8.9,False
bhr,2004,9.0,False
bhr,2005,9.11,False
bhr,2006,9.21,False
bhr,2007,9.32,False
bhr,2008,9.43,False
bhr,2009,9.55,False
bhr,2010,9.66,False
bhr,2011,9.78,False
bhr,2012,9.9,False
bhr,2013,10.02,False
bhr,2014,10.15,False
bhr,2015,10.27,False
bhr,2016,10.392062748202243,True
bhr,2017,10.513977087690233,True
bhr,2018,10.63574319890515,True
bhr,2019,10.75736126206879,True
bhr,2020,10.878831457183823,True
bhr,2021,11.00015396403407,True
bhr,2022,11.12132896218476,True
bhr,2023,11.242356630982801,True
bhr,2024,11.363237149557044,True
bhs,1970,6.67,False
bhs,1971,6.8,False
bhs,1972,6.92,False
bhs,1973,7.05,False
bhs,1974,7.18,False
bhs,1975,7.31,False
bhs,1976,7.44,False
bhs,1977,7.57,False
bhs,1978,7.7,False
bhs,1979,7.83,False
bhs,1980,7.97,False
bhs,1981,8.1,False
bhs,1982,8.24,False
bhs,1983,8.37,False
bhs,1984,8.51,False
bhs,1985,8.65,False
bhs,1986,8.78,False
bhs,1987,8.92,False
bhs,1988,9.06,False
bhs,1989,9.2,False
bhs,1990,9.33,False
bhs,1991,9.47,False
bhs,1992,9.61,False
bhs,1993,9.75,False
bhs,1994,9.89,False
bhs,1995,10.03,False
bhs,1996,10.17,False
bhs,1997,10.31,False
bhs,1998,10.45,False
bhs,1999,10.58,False
bhs,2000,10.72,False
bhs,2001,10.86,False
bhs,2002,11.0,False
bhs,2003,11.14,False
bhs,2004,11.27,False
bhs,2005,11.41,False
bhs,2006,11.55,False
bhs,2007,11.68,False
bhs,2008,11.82,False
bhs,2009,11.95,False
bhs,2010,12.09,False
bhs,2011,12.22,False
bhs,2012,12.35,False
bhs,2013,12.48,False
